date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:17:57	139035/139035	---M--	200	added ('OK')	image/jpeg	etag:%2221f1b-5dca664f7da6e%22	https://rooicell.co.kr/images/main/business_bg1.jpg	C:/rooicel/rooicel/rooicell.co.kr/images/main/business_bg1.jpg	(from https://rooicell.co.kr/)
16:17:57	175429/175429	---M--	200	added ('OK')	image/jpeg	etag:%222ad45-5dca664fb06ef%22	https://rooicell.co.kr/images/main/business_bg2.jpg	C:/rooicel/rooicel/rooicell.co.kr/images/main/business_bg2.jpg	(from https://rooicell.co.kr/)
16:17:57	319150/319150	---M--	200	added ('OK')	image/jpeg	etag:%224deae-5dca664febc29%22	https://rooicell.co.kr/images/main/business_bg3.jpg	C:/rooicel/rooicel/rooicell.co.kr/images/main/business_bg3.jpg	(from https://rooicell.co.kr/)
16:17:57	17711/17711	---M--	200	added ('OK')	image/jpeg	etag:%22452f-5dcab3cdbfae5%22	https://rooicell.co.kr/data/insta/file1_1650002902aj9f9lkla3.jpg	C:/rooicel/rooicel/rooicell.co.kr/data/insta/file1_1650002902aj9f9lkla3.jpg	(from https://rooicell.co.kr/)
16:17:58	11587/11587	---M--	200	added ('OK')	image/jpeg	etag:%222d43-5dcab3da761b5%22	https://rooicell.co.kr/data/insta/file1_16500029154pri8wja3e.jpg	C:/rooicel/rooicel/rooicell.co.kr/data/insta/file1_16500029154pri8wja3e.jpg	(from https://rooicell.co.kr/)
16:17:58	18925/18925	---M--	200	added ('OK')	image/jpeg	etag:%2249ed-5dcab3e489b8b%22	https://rooicell.co.kr/data/insta/file1_1650002926ntslx0s69m.jpg	C:/rooicel/rooicel/rooicell.co.kr/data/insta/file1_1650002926ntslx0s69m.jpg	(from https://rooicell.co.kr/)
16:17:58	28878/28878	---M--	200	added ('OK')	image/jpeg	etag:%2270ce-5dcab3fb3ec3f%22	https://rooicell.co.kr/data/insta/file1_1650002949cijkhtz8lu.jpg	C:/rooicel/rooicel/rooicell.co.kr/data/insta/file1_1650002949cijkhtz8lu.jpg	(from https://rooicell.co.kr/)
16:17:58	22085/22085	---M--	200	added ('OK')	image/jpeg	etag:%225645-5dcab4060baf1%22	https://rooicell.co.kr/data/insta/file1_1650002961sp5zvh148r.jpg	C:/rooicel/rooicel/rooicell.co.kr/data/insta/file1_1650002961sp5zvh148r.jpg	(from https://rooicell.co.kr/)
16:17:59	1152/1152	---M--	200	added ('OK')	image/png	etag:%22480-5dca664e9fb9f%22	https://rooicell.co.kr/images/common/footer_sns_b.png	C:/rooicel/rooicel/rooicell.co.kr/images/common/footer_sns_b.png	(from https://rooicell.co.kr/)
16:17:59	1134/1134	---M--	200	added ('OK')	image/png	etag:%2246e-5dca664ebb120%22	https://rooicell.co.kr/images/common/footer_sns_f.png	C:/rooicel/rooicel/rooicell.co.kr/images/common/footer_sns_f.png	(from https://rooicell.co.kr/)
